,address,rent,sold,sold year,sqft,var,zipcode
0,189 E 7th St,,3300000,2015,4200,1,10009
1,189 E 7th St,14995,4844809,2018,2183,0,10009
2,189 E 7th St,14995,,,,2,10009
3,526 E 5th St,23000,6100000,2018,5200,0,10009
4,133 Avenue D APT 16,3995,,,,2,10009
5,133 Avenue D APT 11,3995,,,,2,10009
6,133 Avenue D APT 17,3300,,,,2,10009
7,133 Avenue D APT 5,3195,,,,2,10009
8,133 Avenue D APT 3,3995,,,,2,10009
9,200 E 7th St APT 5B,2200,,,,2,10009
10,200 E 7th St APT 6B,2200,,,,2,10009
11,200 E 7th St APT 2B,3333,,,,2,10009
12,200 E 7th St APT 5A,3333,,,,2,10009
13,200 E 7th St APT 2A,3333,,,,2,10009
14,200 E 7th St APT 5C,3333,,,,2,10009
15,200 E 7th St APT 1A,2782,,,,2,10009
16,200 E 7th St APT 2C,3333,,,,2,10009
17,200 E 7th St APT 3A,3333,,,,2,10009
18,200 E 7th St APT 6A,3333,,,,2,10009
19,200 E 7th St APT 1C,3333,,,,2,10009
20,200 E 7th St APT 4A,3395,,,,2,10009
21,200 E 7th St APT 6C,3333,,,,2,10009
22,200 E 7th St APT 6B,3333,,,,2,10009
23,200 E 7th St APT 3B,3333,,,,2,10009
24,200 E 7th St APT 1B,2782,,,,2,10009
25,200 E 7th St APT 4B,3712,,,,2,10009
26,203 E 7th St,20000,6250000,2018,5446,0,10009
27,187 E 7th St,1600,425000,2008,2310,0,10009
28,632 E 11th St APT 11,3295,,,,2,10009
29,277 E 10th St # 2,3230,,,,2,10009
30,277 E 10th St # 1,3230,,,,2,10009
31,28 Avenue B APT 5B,2350,,,,2,10009
32,28 Avenue B APT 2B,2350,,,,2,10009
33,28 Avenue B APT 3B,2350,,,,2,10009
34,224 Avenue B APT 28,3230,,,,2,10009
35,28 Avenue B APT 5C,2350,,,,2,10009
36,28 Avenue B APT 3D,2350,,,,2,10009
37,28 Avenue B APT 3A,2800,,,,2,10009
38,28 Avenue B APT 5D,2350,,,,2,10009
39,28 Avenue B APT 4A,3270,,,,2,10009
40,28 Avenue B APT 2D,2350,,,,2,10009
41,28 Avenue B APT 2C,2350,,,,2,10009
42,234 E 4th St APT 4,3413,,,,2,10009
43,207 E 4th St,2450,,,,2,10009
44,106 Nassau Ave # B,2749,2300000,2017,2500,0,10009
45,106 Roff Ave # B,2650,545000,2013,1938,0,10009
46,106B Nassau Ave,4400,,,,2,10009
47,106 E Brinkerhoff Ave # B,2800,525000,2007,1884,0,10009
48,317 E 10th St,3795,5850000,2018,1000,0,10009
49,120 W 74th St,50000,,,,2,10009
50,531 E 12th St APT 6D,2695,,,,2,10009
51,531 E 12th St APT 5E,2695,,,,2,10009
52,531 E 12th St APT 3C,2695,,,,2,10009
53,531 E 12th St APT 2B,3299,,,,2,10009
54,531 E 12th St APT 5B,2700,,,,2,10009
55,531 E 12th St APT 3D,2725,,,,2,10009
56,531 E 12th St APT 2A,3395,,,,2,10009
57,531 E 12th St PH B,5142,,,,2,10009
58,531 E 12th St APT 7C,3130,,,,2,10009
59,531 E 12th St APT 5C,3130,,,,2,10009
60,531 E 12th St APT 6C,2675,,,,2,10009
61,531 E 12th St APT 6B,2395,,,,2,10009
62,531 E 12th St APT 3B,2395,,,,2,10009
63,531 E 12th St APT 2D,5537,,,,2,10009
64,531 E 12th St APT 4D,2675,,,,2,10009
65,531 E 12th St APT 5A,3100,,,,2,10009
66,531 E 12th St APT 5D,3120,,,,2,10009
67,531 E 12th St APT 4B,3170,,,,2,10009
68,531 E 12th St APT 4A,5055,,,,2,10009
69,531 E 12th St APT 7D,5142,,,,2,10009
70,531 E 12th St APT 4C,2765,,,,2,10009
71,327 E 3rd St APT 1E,3280,,,,2,10009
72,311 E 3rd St APT 20,2599,385000,2018,400,0,10009
73,311 E 3rd St APT 20,2673,385000,2018,400,0,10009
74,252 E 7th St APT 23,10000,,,,2,10009
75,241 E 7th St APT 2A,2925,,,,2,10009
76,414 E 10th St APT 1D,2782,455000,2018,500,0,10009
77,412-414 E 10th St APT 2D,2782,492500,2018,500,0,10009
78,414 E 10th St APT 5A,3000,479500,2018,575,0,10009
79,216 E 7th St APT 8,3200,,,,2,10009
80,216 E 7th St APT 8,3000,699000,2018,600,0,10009
81,224 E 7th St APT 7,3300,990000,2018,800,0,10009
82,224 E 7th St APT 7,3315,,,,2,10009
83,224 E 7th St APT 13,3900,995000,2018,850,0,10009
84,224 E 7th St APT 13,4000,,,,2,10009
85,623 E 6th St APT 4,2800,525000,2018,575,0,10009
86,323 East 8th Street #6B,2750,564000,2018,450,0,10009
87,630 E 14th St APT 2,2795,,,,2,10009
88,634 E 14th St APT 12,2600,385000,2007,500,0,10009
89,634 E 14th St APT 12,2700,,,,2,10009
90,630 E 14th St APT 4,2700,521000,2018,500,0,10009
91,630 E 14th St APT 4,2800,,,,2,10009
92,508 E 6th St,3000,,,,2,10009
93,524 E 6th St APT 6,2990,615000,2018,600,0,10009
94,524 E 6th St APT 6,3195,,,,2,10009
95,546 E 11th St APT 4A,2995,,,,2,10009
96,527 E 12th St APT A2,2600,,,,2,10009
97,527 E 12th St APT MW,2590,285000,2018,500,0,10009
98,507 E 12th St APT 2B,2700,750000,2018,530,0,10009
99,507 E 12th St APT 2B,2649,,,,2,10009
100,507 E 12th St APT 3C,3000,940000,2018,8750,0,10009
101,735 E 9th St # 4R,6900,1300000,2018,1600,0,10009
102,735 E 9th St # 4R,5990,,,,2,10009
103,735 E 9th St APT 3FW,4000,,,,2,10009
104,283 E 4th St APT 5A,2799,435000,2018,444,0,10009
105,283 E 4th St APT 5A,6468,,,,2,10009
106,620 E 13th St,3795,5500000,2018,100860,0,10009
107,160 E 3rd St APT 6G,6250,,,,2,10009
108,383-389 E 10th St # E3,4795,,,,2,10009
109,383-389 E 10th St # B1,4295,960000,2006,880,0,10009
110,383-389 E 10th St # C1,4100,,,,2,10009
111,383-389 E 10th St # D1,4400,170000,2000,940,0,10009
112,383-389 E 10th St # E1,4600,900000,2011,966,0,10009
113,383-389 E 10th St # E3,4795,,,,2,10009
114,383-389 E 10th St # B2,4000,146000,2000,820,0,10009
115,383-389 E 10th St # C2,4000,,,,2,10009
116,383-389 E 10th St # D2,4000,146000,2000,823,0,10009
117,383-389 E 10th St # E2,4300,146000,2000,850,0,10009
118,383-389 E 10th St # C4,4795,,,,2,10009
119,383-389 E 10th St # C4,4795,10,2013,1004,0,10009
120,383-389 E 10th St # B3,4402,1100000,2014,947,0,10009
121,383-389 E 10th St # B4,5000,151000,2000,1250,0,10009
122,383-389 E 10th St # C3,4400,151000,2000,952,0,10009
123,383-389 E 10th St # D3,4400,151000,2000,952,0,10009
124,383-389 E 10th St # D4,4995,151000,2000,1004,0,10009
125,383 E 10th St # E3,,780000,2011,1004,1,10009
126,383-389 E 10th St # E4,4995,151000,2000,1004,0,10009
127,383 E 10th St APT A4,,825000,2012,1004,1,10009
128,383-389 E 10th St APT A3,4995,151000,2000,1004,0,10009
129,383-389 E 10th St APT A2,4110,146000,2000,850,0,10009
130,383-389 E 10th St APT A4,4795,,,,2,10009
131,383-389 E 10th St APT A4,4795,,,,2,10009
132,383-389 E 10th St APT A1,4150,169000,2000,964,0,10009
133,182 E 2nd St # 2D,2600,559500,2006,416,0,10009
134,182 E 2nd St # 2C,3300,568000,2007,579,0,10009
135,182 E 2nd St # 2B,3325,130000,1998,553,0,10009
136,182 E 2nd St # 2A,4100,520000,2006,724,0,10009
137,182 E 2nd St APT 2F,4100,,,,2,10009
138,182 E 2nd St APT 2G,3800,,,,2,10009
139,182 E 2nd St APT 2E,4400,845000,2012,845,0,10009
140,182 E 2nd St # 1A,3500,,,,2,10009
141,182 E 2nd St # 3B,3325,820000,2017,553,0,10009
142,182 E 2nd St # 4B,3325,355000,2003,553,0,10009
143,182 E 2nd St # 4D,2600,,,,2,10009
144,182 E 2nd St # 5A,4100,,,,2,10009
145,182 E 2nd St # 5C,3300,,,,2,10009
146,182 E 2nd St # 5D,4500,,,,2,10009
147,182 E 2nd St # 6B,3325,880000,2006,553,0,10009
148,182 E 2nd St # 6C,3300,7000,2014,579,0,10009
149,182 E 2nd St # 1B,3325,570000,2006,553,0,10009
150,182 E 2nd St # 1C,3500,575000,2011,648,0,10009
151,182 E 2nd St # 6A,3750,,,,2,10009
152,182 E 2nd St # 5B,3325,880000,2006,553,0,10009
153,182 E 2nd St # 4C,3300,498500,2006,579,0,10009
154,182 E 2nd St # 4A,4100,998000,2015,724,0,10009
155,182 E 2nd St # 3D,2600,,,,2,10009
156,182 E 2nd St # 3C,3375,900000,2018,579,0,10009
157,182 E 2nd St # 6A,3750,,,,2,10009
158,754 E 6th St APT 6A,6500,780000,2013,1860,0,10009
159,754 E 6th St APT 6B,3411,840000,2016,744,0,10009
160,754 E 6th St APT 6C,3325,540000,2006,709,0,10009
161,754 E 6th St APT 6E,9750,,,,2,10009
162,754 E 6th St APT 6D,4800,,,,2,10009
163,754 E 6th St APT 5C,3250,,,,2,10009
164,754 E 6th St APT 4E,4400,,,,2,10009
165,754 E 6th St APT 2D,4800,522080,2006,1070,0,10009
166,754 E 6th St APT 5E,4275,635000,2010,936,0,10009
167,754 E 6th St APT 4B,3411,,,,2,10009
168,754 E 6th St APT 2B,3411,875000,2017,756,0,10009
169,754 E 6th St APT 4D,4800,527000,2003,1070,0,10009
170,754 E 6th St APT 4C,3250,675000,2014,680,0,10009
171,754 E 6th St APT 3A,4500,,,,2,10009
172,754 E 6th St APT 5D,4800,850000,2006,1070,0,10009
173,754 E 6th St APT 5B,3495,,,,2,10009
174,754 E 6th St APT 4A,4400,,,,2,10009
175,754 E 6th St APT 3E,4500,615000,2010,975,0,10009
176,754 E 6th St APT 3D,4800,785000,2006,1070,0,10009
177,754 E 6th St APT 3C,3375,689000,2006,680,0,10009
178,754 E 6th St APT 3B,3750,608500,2006,800,0,10009
179,754 E 6th St APT 2A,4400,995000,2014,955,0,10009
180,754 E 6th St APT 5A,4400,975000,2015,955,0,10009
181,754 E 6th St APT 5E,3350,,,,2,10009
182,754 E 6th St APT 2C,3250,820000,2018,680,0,10009
183,399 E 8th St # 8A,4100,,,,2,10009
184,399 E 8th St # 8B,4900,,,,2,10009
185,399 E 8th St # 8C,4022,,,,2,10009
186,399 E 8th St APT 8C,5400,,,,2,10009
187,399 E 8th St APT 8B,4628,,,,2,10009
188,399 E 8th St # 4A,4100,,,,2,10009
189,399 E 8th St # 3C,4100,,,,2,10009
190,399 E 8th St # 4D,4100,,,,2,10009
191,399 E 8th St # 6D,4100,,,,2,10009
192,399 E 8th St # 4C,4100,,,,2,10009
193,399 E 8th St # 2A,4100,,,,2,10009
194,399 E 8th St # 3A,4100,,,,2,10009
195,399 E 8th St # 2D,3995,,,,2,10009
196,399 E 8th St # 6C,4100,,,,2,10009
197,399 E 8th St # 2B,3000,732376,2018,481,0,10009
198,399 E 8th St # 4B,3600,,,,2,10009
199,399 E 8th St # 1A,4495,,,,2,10009
200,399 E 8th St # 3D,4100,1016213,2018,733,0,10009
201,399 E 8th St # 5A,4100,,,,2,10009
202,399 E 8th St # 1B,4395,,,,2,10009
203,399 E 8th St # 6A,4100,,,,2,10009
204,399 E 8th St # 7C,4100,,,,2,10009
205,399 E 8th St # 7B,4100,,,,2,10009
206,399 E 8th St # 5D,3857,,,,2,10009
207,399 E 8th St # 5C,3850,,,,2,10009
208,143 Avenue B,2495,,,,2,10009
209,631 E 9th St,3150,1350000,2018,11900,0,10009
210,189 Avenue C,20000,830000,2015,40162,0,10009
211,189 Avenue C,20000,830000,2015,40162,0,10009
212,215 Avenue B,2950,6025000,2007,20553,0,10009
213,175 E 2nd St,3995,715000,2006,800,0,10009
214,175 E 2nd St,3375,500000,2013,600,0,10009
215,525 E 11th St,3200,1710000,2013,500,0,10009
216,217 E 3rd St,3195,5100000,2018,6560,0,10009
217,296 E 2nd St,3235,182000,2000,11421,0,10009
218,305 E 4th St APT 4,4200,935000,2016,928,0,10009
219,517 E 11th St APT 2,7800,131500,1993,1520,0,10009
220,517 E 11th St APT 4,8900,1895000,2018,1700,0,10009
221,517 E 11th St APT 5,4700,75500,1993,867,0,10009
222,517 E 11th St APT 1,6900,112500,1993,1295,0,10009
223,517 E 11th St APT 6,3095,,,,2,10009
224,517 E 11th St APT 3,7999,2105000,2015,1665,0,10009
225,549 E 11th St,29995,162000,2000,5380,0,10009
226,186 E 2nd St APT 13,6195,,,,2,10009
227,186 E 2nd St APT 2,2950,475000,2018,8395,0,10009
228,186 E 2nd St APT 2,6195,,,,2,10009
229,538 E 11th St,20000,16250000,2018,14000,0,10009
230,462 W 25th St,23000,5500000,2018,5148,0,10001
231,332 W 20th St,20000,4005000,2004,3072,0,10011
232,332 W 20th St,20000,,,,2,10011
233,240 W 21st St,23000,6350000,2018,3600,0,10011
234,209 W 22nd St,19000,4650000,2018,2776,0,10011
235,237 W 19th St APT A,7000,496500,1999,1105,0,10011
236,237 W 19th St APT C,4800,,,,2,10011
237,237 W 19th St APT B,4995,1450000,2018,675,0,10011
238,160 W 22nd St APT 505,3992,,,,2,10011
239,505 W 22nd St APT 2W,3850,,,,2,10011
240,505 W 22nd St APT 1W,3395,,,,2,10011
241,505 W 22nd St APT 2E,3600,,,,2,10011
242,505 W 22nd St APT 4E,3850,,,,2,10011
243,505 W 22nd St APT 5E,3350,,,,2,10011
244,505 W 22nd St APT 3W,3595,,,,2,10011
245,505 W 22nd St APT 1E,3595,,,,2,10011
246,505 W 22nd St APT 4W,3300,,,,2,10011
247,505 W 22nd St APT 5W,3850,,,,2,10011
248,445 W 21st St APT 2F,4263,,,,2,10011
249,342 W 15th St APT 3,4200,,,,2,10011
250,342 W 15th St APT 2,4267,,,,2,10011
251,342 W 15th St APT 4,2725,,,,2,10011
252,362 W 30th St,15000,4400000,2018,3200,0,10001
253,244 W 22nd St APT 3A,3300,,,,2,10011
254,244 W 22nd St APT 2B,3300,,,,2,10011
255,244 W 22nd St APT 1B,3300,,,,2,10011
256,244 W 22nd St APT 4D,3300,,,,2,10011
257,244 W 22nd St APT 1C,3300,,,,2,10011
258,244 W 22nd St APT 3B,3300,,,,2,10011
259,244 W 22nd St APT 2C,3050,,,,2,10011
260,244 W 22nd St APT 5C,3300,,,,2,10011
261,244 W 22nd St APT 5D,3300,,,,2,10011
262,244 W 22nd St APT 5A,3369,,,,2,10011
263,244 W 22nd St APT 5B,3300,,,,2,10011
264,244 W 22nd St APT 2D,3300,,,,2,10011
265,200 W 20th St APT 208,3600,,,,2,10011
266,208 W 20th St APT 2B,2675,470000,2004,475,0,10011
267,208 W 20th St APT 3D,2742,,,,2,10011
268,208 W 20th St APT 2D,2640,,,,2,10011
269,208 W 20th St APT 1A,2700,,,,2,10011
270,208 W 20th St APT 3B,3470,,,,2,10011
271,208 W 20th St APT 1B,3415,,,,2,10011
272,208 W 20th St APT 5C,3470,,,,2,10011
273,125 W 16th St APT 137,3950,,,,2,10011
274,125 W 16th St APT 136,4519,,,,2,10011
275,125 W 16th St APT 121,3900,,,,2,10011
276,125 W 16th St APT 161,3510,,,,2,10011
277,125 W 16th St APT 126,4695,,,,2,10011
278,125 W 16th St APT 141,3500,,,,2,10011
279,125 W 16th St BSMT 1,3375,,,,2,10011
280,125 W 16th St APT 151,3905,,,,2,10011
281,405 W 23rd St APT 11H,3000,599000,2015,320433,0,10011
282,319-321 W 14th St APT 4-321,6150,2950000,2018,1400,0,10014
283,320 W 17th St APT 5RW,2425,,,,2,10011
284,320 W 17th St APT 3FW,2575,,,,2,10011
285,332 W 17th St APT 1R,2895,,,,2,10011
286,332 W 17th St APT 3E,2600,574000,2018,8525,0,10011
287,329 W 19th St # 1,4400,,,,2,10011
288,350 W 20th St APT 2R,3000,485000,2018,416,0,10011
289,162 9th Ave APT A,3795,735000,2018,700,0,10011
290,162 9th Ave APT 4C,2575,,,,2,10011
291,360 W 21st St APT 3G,3200,,,,2,10011
292,342 W 21st St APT 3C,2950,,,,2,10011
293,333 W 21st St APT 3FE,3200,675000,2018,475,0,10011
294,333 W 21st St APT 3FE,3695,,,,2,10011
295,322 W 22nd St # 6,3100,,,,2,10011
296,322 W 22nd St # 6,4033,985000,2018,800,0,10011
297,322 W 22nd St APT 6,3950,,,,2,10011
298,322 W 22nd St APT 2,3125,,,,2,10011
299,334 W 22nd St APT 4,4000,,,,2,10011
300,334 W 22nd St APT 25,2795,,,,2,10011
301,347 W 22nd St APT 3,4000,,,,2,10011
302,228 W 16th St APT 3B,3396,550000,2018,550,0,10011
303,228 W 16th St APT 3B,2500,550000,2018,550,0,10011
304,234 W 16th St APT 2B,2500,499000,2018,550,0,10011
305,234 W 16th St APT 2B,2949,499000,2018,550,0,10011
306,260 W 21st St APT 4L,2950,,,,2,10011
307,260 W 22nd St APT 1R,3700,,,,2,10011
308,260 W 22nd St APT 1R,3315,,,,2,10011
309,260 W 22nd St APT 1R,3900,,,,2,10011
310,264 W 22nd St # 6,2600,,,,2,10011
311,261 W 22nd St APT 2,4000,400000,2018,950,0,10011
312,261 W 22nd St APT 2,3500,,,,2,10011
313,140 W 16th St APT 5E,6900,1750000,2018,1600,0,10011
314,140 W 16th St APT 5E,5990,,,,2,10011
315,520 W 23rd St APT 6B,5500,1150000,2018,894,0,10011
316,520 W 23rd St APT 6B,4000,,,,2,10011
317,520 W 23rd St APT 3A,3400,799000,2018,667,0,10011
318,520 W 23rd St APT 3A,3000,799000,2018,95656,0,10011
319,520 W 23rd St APT 12D,3290,595000,2018,450,0,10011
320,520 W 23rd St # 16AG,5795,1775000,2018,1071,0,10011
321,453 W 19th St APT 5A,3600,840000,2018,650,0,10011
322,453 W 19th St APT 5A,2995,840000,2018,650,0,10011
323,453 W 19th St APT 3B,3600,825000,2018,675,0,10011
324,453 W 19th St APT 3B,2995,840000,2018,675,0,10011
325,410 W 23rd St APT 6A,2950,,,,2,10011
326,410 W 23rd St APT 6A,3964,910000,2018,800,0,10011
327,433 W 24th St APT 3B,2800,,,,2,10011
328,433 W 24th St APT 3B,3500,695000,2018,600,0,10011
329,429 W 24th St APT 3A,2800,,,,2,10011
330,429 W 24th St APT 1C,5500,810000,2018,900,0,10011
331,429 W 24th St APT 1C,4000,,,,2,10011
332,319 W 18th St APT 2E,2900,,,,2,10011
333,365 W 20th St APT 12C,3400,,,,2,10011
334,365 W 20th St APT 12C,3750,941881,2018,750,0,10011
335,350 W 24th St APT 9F,3050,,,,2,10011
336,350 W 24th St APT 8J,3050,,,,2,10011
337,315 W 23rd St APT 8A,3950,,,,2,10011
338,351 W 24th St APT 9C,3112,,,,2,10011
339,340 W 28th St APT 4C,3550,,,,2,10001
340,280 9th Ave APT 5F,3600,,,,2,10001
341,365 W 28th St APT 7H,3085,,,,2,10001
342,250 W 15th St APT 6D,3575,1065000,2018,725,0,10011
343,250 W 15th St APT 6D,3700,,,,2,10011
344,250 W 15th St APT 2B,2900,,,,2,10011
345,250 W 16th St APT 3E,3800,965000,2018,750,0,10011
346,250 W 16th St APT 3E,3500,,,,2,10011
347,250 W 16th St APT 1H,4350,1025000,2018,950,0,10011
348,250 W 16th St APT 1H,3500,,,,2,10011
349,201 W 16th St APT 16B,4350,1330000,2018,850,0,10011
350,201 W 16th St APT 16B,3895,,,,2,10011
351,201 W 16th St APT 8E,2800,480000,2019,425,0,10011
352,201 W 16th St APT 8E,2950,,,,2,10011
353,205 W 19th St APT 8F,10950,,,,2,10011
354,252 W 20th St APT 4B,3470,520000,2018,600,0,10011
355,234 W 21st St APT 41,3200,,,,2,10011
356,233 W 21st St APT 1B,3950,965000,2018,850,0,10011
357,233 W 21st St APT 1B,3500,,,,2,10011
358,233 W 21st St APT 2E,2800,,,,2,10011
359,233 W 21st St APT 2E,3153,660000,2018,550,0,10011
360,233 W 21st St APT 5E,3500,425500,2004,20748,0,10011
361,231 W 21st St APT 5C,3200,,,,2,10011
362,201 W 21st St # 4GH,3895,,,,2,10011
363,250 W 22nd St APT 3E,3000,,,,2,10011
364,250 W 22nd St APT 4C,3650,930000,2018,850,0,10011
365,250 W 22nd St APT 4C,2900,,,,2,10011
366,240 W 23rd St APT 7C,5291,1375000,2006,1650,0,10011
367,240 W 23rd St APT 7C,6750,,,,2,10011
368,240 W 23rd St APT 7C,8000,2425000,2018,1650,0,10011
369,255 W 23rd St APT 6FW,3000,462500,2008,520,0,10011
370,255 W 23rd St APT 6FW,2850,,,,2,10011
371,250 W 24th St APT 6DW,3550,,,,2,10011
372,255 W 23rd St APT 4HE,3995,,,,2,10011
373,250 W 24th St APT 5GW,5395,1470000,2018,1200,0,10011
374,250 W 24th St APT 5GW,3950,,,,2,10011
375,255 W 23rd St # P1DE,3500,,,,2,10011
376,254 W 25th St APT 1D,3950,775000,2018,675,0,10001
377,254 W 25th St APT 1D,2950,,,,2,10001
378,225 W 25th St APT 5L,3600,875000,2018,800,0,10001
379,225 W 25th St APT 5L,3000,875000,2018,62586,0,10001
380,233 W 26th St APT 7E,4000,,,,2,10001
381,250 W 27th St APT 5F,4000,1200000,2018,1100,0,10001
382,250 W 27th St APT 5F,4340,1200000,2018,1100,0,10001
383,250 W 27th St APT 2H,3250,630000,2018,600,0,10001
384,250 W 27th St APT 2H,2979,635000,2018,600,0,10001
385,77 7th Ave APT 18U,3000,500000,2018,371863,0,10011
386,77 7th Ave APT 7V,3500,,,,2,10011
387,77 7th Ave APT 12P,3500,980000,2018,371863,0,10011
388,77 7th Ave APT 9J,3550,982575,2018,750,0,10011
389,77 7th Ave APT 9J,3600,,,,2,10011
390,77 7th Ave APT 14M,5600,,,,2,10011
391,154 W 15th St APT 2A,2842,600000,2018,550,0,10011
392,154 W 15th St APT 2A,4000,,,,2,10011
393,161 W 15th St APT 6I,3950,,,,2,10011
394,161 W 15th St APT 6I,5990,1700000,2018,1400,0,10011
395,161 W 15th St APT 3B,5200,1650000,2018,1200,0,10011
396,161 W 15th St APT 3B,3850,,,,2,10011
397,155 W 15th St APT 2D,3000,,,,2,10011
398,147 W 15th St # 3NS,25520,8100000,2018,4800,0,10011
399,130 W 16th St APT 7,4200,1595000,2018,32384,0,10011
400,139 W 17th St # 2A,7450,2600000,2018,2500,0,10011
401,121 W 17th St APT 2D,7900,,,,2,10011
402,155 W 20th St APT 3B,3995,825000,2018,800,0,10011
403,155 W 20th St APT 3B,4000,,,,2,10011
404,155 W 20th St APT 1E,4276,870000,2018,900,0,10011
405,155 W 20th St APT 1E,4000,,,,2,10011
406,155 W 20th St APT 3A,3250,,,,2,10011
407,155 W 20th St APT 3A,4120,803000,2018,700,0,10011
408,155 W 20th St # 5BC,6000,1625000,2018,1300,0,10011
409,129 W 22nd St APT 5A,6457,2667400,2018,2100,0,10011
410,129 W 22nd St APT 5A,9250,,,,2,10011
411,148 W 23rd St APT 10H,3895,,,,2,10011
412,148 W 23rd St APT 10H,3850,720000,2018,600,0,10011
413,148 W 23rd St APT 6F,3895,,,,2,10011
414,148 W 23rd St APT 3F,3895,,,,2,10011
415,148 W 23rd St APT 3F,4600,1150000,2018,1000,0,10011
416,148 W 23rd St APT 3F,4600,,,,2,10011
417,148 W 23rd St APT 3A,5537,1487000,2018,1000,0,10011
418,148 W 23rd St APT 3A,3895,,,,2,10011
419,148 W 23rd St APT 4H,2900,,,,2,10011
420,148 W 23rd St APT 4H,3250,550000,2018,550,0,10011
421,148 W 23rd St APT 9B,4495,995000,2018,900,0,10011
422,148 W 23rd St APT 9B,3895,,,,2,10011
423,148 W 23rd St APT 4F,4680,975000,2018,1000,0,10011
424,148 W 23rd St APT 4F,3895,,,,2,10011
425,136 W 24th St APT 4F,4000,,,,2,10011
426,136 W 24th St APT 4-R,10995,2876000,2018,2300,0,10011
427,136 W 24th St APT 4-R,10000,,,,2,10011
428,136 W 24th St APT 4R,5738,,,,2,10011
429,107 W 25th St APT 6A,4000,,,,2,10001
430,107 W 25th St APT 6A,5000,1400000,2018,1250,0,10001
431,130 W 26th St APT 5,6500,,,,2,10001
432,130 W 26th St APT 5,6995,1800000,2018,2350,0,10001
433,109 W 26th St ROOM 6B,7000,1645000,2018,1694,0,10001
434,109 W 26th St RM 6B,7500,,,,2,10001
435,109 W 26th St ROOM 4B,9250,,,,2,10001
436,109 W 26th St ROOM 4B,4950,1400000,2018,1600,0,10001
437,109 W 26th St RM 4B,4950,,,,2,10001
438,143 W 27th St APT 5,6500,2200000,2018,1800,0,10001
439,143 W 27th St APT 5,8195,2200000,2018,1800,0,10001
440,143 W 27th St APT 3F,8648,2750000,2018,2064,0,10001
441,143 W 27th St APT 3F,6250,,,,2,10001
442,219 W 14th St APT 2RE,3695,877500,2014,626,0,10011
443,219 W 14th St APT 3R,3550,141000,1995,600,0,10011
444,219 W 14th St APT 5F,7800,1445000,2010,1380,0,10011
445,219 W 14th St APT 1RW,5295,,,,2,10011
446,219 W 14th St APT 4R,3550,585493,2006,600,0,10011
447,219 W 14th St APT 4F,3617,1030000,2018,626,0,10011
448,219 W 14th St APT 2RW,3500,755000,2013,530,0,10011
449,219 W 14th St APT 2F,4995,1732000,2015,712,0,10011
450,219 W 14th St APT 1RE,5359,916425,2008,966,0,10011
451,219 W 14th St APT 5R,3650,1200000,2016,636,0,10011
452,219 W 14th St APT 3F,3500,792000,2011,626,0,10011
453,219 W 14th St FRNT 1,3988,,,,2,10011
454,520 W 19th St,20000,3000000,2012,73107,0,10011
455,100 11th Ave,22000,5900000,2011,3842,0,10011
456,100 11th Ave,10500,1100000,2010,1760,0,10011
457,120 11th Ave,3000,7950000,2013,4905,0,10011
458,120 11th Ave,3395,,,,2,10011
459,120 11th Ave,23000,4582125,2011,2923,0,10011
460,120 11th Ave,3000,,,,2,10011
461,120 11th Ave,24000,4600000,2014,3353,0,10011
462,525 West 22nd Street #PHF,25172,4950000,2018,3300,0,10011
463,555 W 23rd Street #ST,5220,745000,2016,500,0,10011
464,555 W 23rd Street #ST,5220,745000,2016,500,0,10011
465,231-233 10th Ave # 10B,9000,2400000,2013,1421,0,10011
466,231-233 10th Ave # 10A,10000,658000,2010,1421,0,10011
467,231-233 10th Ave # 2A,9000,1665000,2014,1294,0,10011
468,231-233 10th Ave # 2B,9650,2075000,2015,1421,0,10011
469,231-233 10th Ave # 3A,9000,1282995,2006,1421,0,10011
470,231-233 10th Ave # 3B,9750,2150000,2018,1421,0,10011
471,231-233 10th Ave # 4A,9950,1565000,2010,1421,0,10011
472,231-233 10th Ave # 4B,9000,1181170,2006,1426,0,10011
473,231-233 10th Ave # 5A,10000,1650000,2007,1421,0,10011
474,231-233 10th Ave # 5B,10000,2200000,2017,1421,0,10011
475,231-233 10th Ave # 6A,10000,1405185,2006,1421,0,10011
476,231-233 10th Ave # 6B,10000,1530000,2010,1421,0,10011
477,231-233 10th Ave # 7B,10000,1415367,2006,1421,0,10011
478,231-233 10th Ave # 8A,10000,2787500,2015,1421,0,10011
479,231-233 10th Ave # 8B,10000,1333907,2006,1421,0,10011
480,231-233 10th Ave # 9A,10000,1985587,2006,1421,0,10011
481,231-233 10th Ave # 9B,9000,1354272,2006,1450,0,10011
482,231-233 10th Ave # 7A,9500,2100000,2013,1421,0,10011
483,231 10th Ave # 233,3000,2100000,2013,53455,0,10011
484,231-233 10th Ave # 7A,9500,,,,2,10011
485,231-233 10th Ave PENTHOUSE 1,23500,3875000,2010,2647,0,10011
486,231-233 10th Ave PENTHOUSE 2,23000,5550000,2018,2673,0,10011
487,231-233 10th Ave PENTHOUSE 3,23500,3695000,2007,2647,0,10011
488,231-233 10th Ave PENTHOUSE 4,19988,6000000,2017,2505,0,10011
489,231 10th Ave APT 7B,8900,,,,2,10011
490,231-233 10th Ave # 10B,9000,2400000,2013,1421,0,10011
491,231-233 10th Ave # 10A,10000,658000,2010,1421,0,10011
